<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.01.01	23:00:00	2625.179	2625.839	2623.565	2623.744	1523	0	159
2025.01.01	23:30:00	2623.753	2624.387	2621.641	2623.766	1587	0	159
2025.01.02	00:00:00	2623.798	2626.467	2622.720	2626.317	1878	0	160
2025.01.02	00:30:00	2626.336	2627.937	2625.335	2625.373	2110	0	159
2025.01.02	01:00:00	2625.414	2632.984	2623.813	2632.507	6308	0	159
2025.01.02	01:30:00	2632.554	2634.386	2631.602	2632.921	4877	0	159
2025.01.02	02:00:00	2632.946	2636.540	2632.531	2635.581	3111	0	159
2025.01.02	02:30:00	2635.585	2635.816	2632.318	2634.701	3306	0	159
2025.01.02	03:00:00	2634.666	2635.341	2632.953	2633.384	2507	0	159
2025.01.02	03:30:00	2633.349	2634.198	2632.268	2633.644	1789	0	159
2025.01.02	04:00:00	2633.633	2633.698	2632.073	2632.434	1696	0	160
2025.01.02	04:30:00	2632.410	2634.213	2631.050	2633.925	1923	0	159
2025.01.02	05:00:00	2633.924	2635.368	2633.094	2634.868	1776	0	160
2025.01.02	05:30:00	2634.775	2636.497	2633.939	2634.036	2660	0	160
2025.01.02	06:00:00	2633.937	2634.445	2631.203	2634.157	2589	0	160
2025.01.02	06:30:00	2634.219	2635.437	2633.316	2634.127	2298	0	159
2025.01.02	07:00:00	2634.126	2635.935	2633.511	2634.327	2329	0	159
2025.01.02	07:30:00	2634.357	2635.994	2632.992	2635.915	2315	0	159
2025.01.02	08:00:00	2635.953	2637.121	2631.333	2633.322	3406	0	160
2025.01.02	08:30:00	2633.302	2637.830	2631.123	2636.432	3112	0	160
2025.01.02	09:00:00	2636.417	2639.978	2636.417	2637.428	3744	0	159
2025.01.02	09:30:00	2637.471	2638.385	2635.879	2636.139	2616	0	159
2025.01.02	10:00:00	2636.128	2646.379	2632.744	2644.753	4528	0	159
2025.01.02	10:30:00	2644.723	2645.719	2640.492	2642.691	4464	0	159
2025.01.02	11:00:00	2642.701	2644.692	2640.498	2641.764	3089	0	159
2025.01.02	11:30:00	2641.874	2642.851	2640.255	2641.974	2624	0	159
2025.01.02	12:00:00	2642.008	2643.144	2640.305	2642.666	2795	0	159
2025.01.02	12:30:00	2642.659	2646.449	2642.154	2643.446	3526	0	159
2025.01.02	13:00:00	2643.400	2643.400	2636.005	2640.889	6452	0	159
2025.01.02	13:30:00	2640.932	2647.341	2636.978	2643.006	7049	0	159
2025.01.02	14:00:00	2642.964	2649.069	2640.361	2646.314	6678	0	159
2025.01.02	14:30:00	2646.271	2651.066	2646.155	2647.518	7834	0	159
2025.01.02	15:00:00	2647.491	2649.684	2645.189	2648.751	6436	0	159
2025.01.02	15:30:00	2648.711	2655.843	2648.371	2654.130	5990	0	159
2025.01.02	16:00:00	2654.062	2657.990	2650.034	2656.686	6245	0	159
2025.01.02	16:30:00	2656.706	2660.419	2654.828	2659.284	4488	0	159
2025.01.02	17:00:00	2659.325	2660.457	2655.969	2656.402	3904	0	159
2025.01.02	17:30:00	2656.445	2656.668	2652.515	2656.471	4156	0	160
2025.01.02	18:00:00	2656.477	2658.756	2654.892	2654.921	4357	0	159
2025.01.02	18:30:00	2654.966	2656.129	2653.757	2655.483	3298	0	159
2025.01.02	19:00:00	2655.524	2656.166	2653.805	2655.509	2999	0	159
2025.01.02	19:30:00	2655.523	2657.161	2654.339	2654.740	2905	0	159
2025.01.02	20:00:00	2654.775	2660.436	2654.151	2659.868	2622	0	160
2025.01.02	20:30:00	2659.869	2660.463	2658.807	2659.621	3239	0	159
2025.01.02	21:00:00	2659.667	2660.233	2657.853	2658.207	1552	0	159
2025.01.02	21:30:00	2658.165	2658.531	2656.550	2657.442	1223	0	159
2025.01.02	23:00:00	2657.396	2658.973	2657.322	2658.721	1065	0	159
2025.01.02	23:30:00	2658.757	2659.539	2657.832	2658.328	1509	0	159
2025.01.03	00:00:00	2658.371	2661.162	2658.368	2659.760	1641	0	159
2025.01.03	00:30:00	2659.804	2660.966	2658.686	2660.717	1741	0	160
2025.01.03	01:00:00	2660.745	2662.583	2658.173	2658.802	3427	0	159
2025.01.03	01:30:00	2658.859	2660.101	2656.708	2659.414	2423	0	160
2025.01.03	02:00:00	2659.425	2664.049	2656.109	2659.320	4142	0	160
2025.01.03	02:30:00	2659.283	2663.096	2658.890	2662.413	3634	0	159
2025.01.03	03:00:00	2662.443	2665.214	2661.238	2663.487	3461	0	159
