<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	00:00:00	2000.0	0.0	0.0	2000.0	3020172624208	0	3020172624208
2024.01.01	00:30:00	2000.0	2003.53888	1999.21305	2002.92565	199	0	13
2024.01.01	01:00:00	2002.92565	2003.48079	1993.38613	1996.66698	303	0	22
2024.01.01	01:30:00	1996.66698	1997.85196	1990.3294	1992.61142	264	0	23
2024.01.01	02:00:00	1992.61142	1999.56742	1990.91292	1991.06634	165	0	25
2024.01.01	02:30:00	1991.06634	1991.90846	1968.07718	1977.05313	492	0	19
2024.01.01	03:00:00	1977.05313	1984.16931	1970.97964	1974.39063	180	0	23
2024.01.01	03:30:00	1974.39063	1979.48984	1973.08911	1976.73783	176	0	22
2024.01.01	04:00:00	1976.73783	1980.7667	1968.33152	1972.11643	254	0	21
2024.01.01	04:30:00	1972.11643	1976.35594	1955.92264	1962.04177	420	0	22
2024.01.01	05:00:00	1962.04177	1969.8838	1953.80314	1967.95108	273	0	24
2024.01.01	05:30:00	1967.95108	1987.49455	1964.73592	1984.72319	441	0	20
2024.01.01	06:00:00	1955.32135	1964.49635	1953.55857	1963.73434	296	0	22
2024.01.01	06:30:00	1962.13762	1971.85467	1957.46654	1971.27175	307	0	22
2024.01.01	07:00:00	1955.45512	1960.91168	1951.80749	1958.48285	199	0	22
2024.01.01	07:30:00	1958.349	1971.96327	1956.29315	1970.40845	446	0	22
2024.01.01	08:00:00	1946.40928	1960.19516	1946.04956	1957.96131	382	0	20
2024.01.01	08:30:00	1935.89966	1942.38703	1935.5372	1941.17886	131	0	21
2024.01.01	09:00:00	1936.24838	1938.9355	1931.87825	1937.30451	133	0	18
2024.01.01	09:30:00	1935.93872	1938.65162	1921.2909	1922.4498	355	0	22
2024.01.01	10:00:00	1944.75501	1949.06257	1938.29028	1948.81025	265	0	18
2024.01.01	10:30:00	1948.15714	1951.70872	1935.74819	1938.45356	352	0	17
2024.01.01	11:00:00	1956.71442	1958.96351	1947.10866	1948.57752	316	0	21
2024.01.01	11:30:00	1963.68082	1966.06418	1955.48099	1956.45809	306	0	24
2024.01.01	12:00:00	1957.3122	1962.03973	1950.13198	1952.24021	224	0	19
2024.01.01	12:30:00	1961.04149	1966.03279	1954.8012	1956.41845	139	0	19
2024.01.01	13:00:00	1961.45127	1965.55932	1958.62851	1965.05728	185	0	17
2024.01.01	13:30:00	1963.3438	1967.00954	1956.79828	1966.36228	150	0	19
2024.01.01	14:00:00	1961.91943	1969.91161	1960.43002	1966.95641	248	0	19
2024.01.01	14:30:00	1966.37363	1971.64857	1957.42648	1957.43694	288	0	22
2024.01.01	15:00:00	1960.2219	1961.35257	1951.15836	1956.77657	181	0	20
2024.01.01	15:30:00	1962.04545	1969.7528	1957.11525	1969.21472	276	0	25
2024.01.01	16:00:00	1957.98734	1962.9777	1943.29279	1948.8464	259	0	28
2024.01.01	16:30:00	1953.02897	1954.10829	1941.40184	1944.40193	327	0	28
2024.01.01	17:00:00	1960.56932	1971.57372	1954.41144	1968.14098	282	0	19
