<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.01.01	00:00:00	2000.0	0.0	0.0	2000.0	3020172624208	0	3020172624208
2024.01.01	00:30:00	2000.0	2014.74554	1997.31878	2011.59835	407	0	15
2024.01.01	01:00:00	2011.59835	2016.5242	2011.51027	2015.04019	199	0	19
2024.01.01	01:30:00	2015.04019	2021.06824	2012.92423	2020.00303	238	0	21
2024.01.01	02:00:00	2020.00303	2021.73267	2016.2647	2020.76529	168	0	20
2024.01.01	02:30:00	2020.76529	2024.48457	2009.88019	2014.50704	297	0	18
2024.01.01	03:00:00	2014.50704	2025.61683	2014.26913	2023.80904	376	0	18
2024.01.01	03:30:00	2023.80904	2025.11072	2022.26497	2022.34387	168	0	22
2024.01.01	04:00:00	2022.34387	2037.84151	2016.78411	2035.24165	451	0	22
2024.01.01	04:30:00	2035.24165	2044.30986	2028.7283	2042.01107	298	0	27
2024.01.01	05:00:00	2042.01107	2045.1376	2037.27872	2039.65172	218	0	29
2024.01.01	05:30:00	2039.65172	2041.0561	2024.27632	2028.54325	407	0	27
2024.01.01	06:00:00	2030.68109	2032.63112	2021.39763	2023.13988	206	0	19
2024.01.01	06:30:00	2028.23768	2042.39193	2026.39972	2038.34147	326	0	25
2024.01.01	07:00:00	2021.90833	2030.3863	2020.88429	2029.33342	298	0	22
2024.01.01	07:30:00	2015.99131	2021.21735	2012.37599	2015.15103	169	0	29
2024.01.01	08:00:00	2015.22141	2025.09352	2005.7193	2006.6028	306	0	26
2024.01.01	08:30:00	2009.42533	2018.86515	2004.45168	2016.82625	189	0	23
2024.01.01	09:00:00	2007.32343	2011.67167	2003.24972	2008.8394	151	0	20
2024.01.01	09:30:00	2005.82636	2013.37084	2000.54088	2009.04977	216	0	26
2024.01.01	10:00:00	2004.17198	2018.88264	1999.32153	2011.78852	333	0	22
2024.01.01	10:30:00	1997.9721	1997.99908	1992.31258	1993.04669	293	0	25
2024.01.01	11:00:00	1994.33457	2010.91191	1992.56672	2006.71769	332	0	23
2024.01.01	11:30:00	2002.13705	2004.16396	1995.90913	1997.0421	170	0	16
2024.01.01	12:00:00	1999.56186	2014.45395	1997.17789	2010.87983	363	0	19
2024.01.01	12:30:00	1990.70995	1998.60545	1988.44132	1998.05244	277	0	24
2024.01.01	13:00:00	1984.49993	1994.06688	1983.16516	1992.55708	281	0	25
2024.01.01	13:30:00	1978.72861	1987.54455	1976.0442	1987.22722	328	0	24
2024.01.01	14:00:00	1970.64628	1975.081	1966.17791	1966.78324	188	0	27
2024.01.01	14:30:00	1969.93824	1971.33246	1964.14251	1965.07254	152	0	24
2024.01.01	15:00:00	1969.72407	1970.4725	1954.61265	1955.04016	384	0	25
2024.01.01	15:30:00	1959.89845	1964.49614	1958.44366	1961.03232	166	0	25
2024.01.01	16:00:00	1960.84714	1971.58762	1960.09269	1966.62835	181	0	20
2024.01.01	16:30:00	1962.68093	1967.13476	1961.88554	1964.71765	168	0	16
2024.01.01	17:00:00	1963.91413	1966.06661	1949.48223	1956.64332	243	0	22
2024.01.01	17:30:00	1960.68323	1971.40283	1956.12968	1957.39539	171	0	23
2024.01.01	18:00:00	1962.36367	1969.76802	1961.75963	1968.74647	247	0	24
2024.01.01	18:30:00	1959.17605	1961.74876	1955.86729	1956.15589	160	0	25
2024.01.01	19:00:00	1960.97032	1974.23947	1960.59866	1971.72566	398	0	28
2024.01.01	19:30:00	1970.97247	1974.61441	1963.55365	1968.833	206	0	29
2024.01.01	20:00:00	1972.68779	1978.53151	1962.57094	1964.36813	216	0	27
2024.01.01	20:30:00	1976.26118	1985.12049	1962.04703	1962.28671	470	0	28
2024.01.01	21:00:00	1989.51203	1992.7701	1982.94957	1984.98404	190	0	32
2024.01.01	21:30:00	1992.4182	2009.2898	1991.82269	2006.64142	463	0	32
2024.01.01	22:00:00	1979.50502	1979.57469	1961.06768	1966.62352	340	0	26
